"Year","Tempdev","Passengers"
1993,0.146333333333333,1094724
1994,0.207416666666667,1249280
1995,0.32125,1523068
1996,0.180083333333333,1593184
1997,0.388916666666667,1885953
1998,0.536833333333333,1904363
1999,0.30675,2335555
2000,0.295833333333333,2623865
2001,0.439583333333333,2613384
2002,0.497833333333333,2588724
2003,0.509333333333333,2827627
2004,0.448333333333333,3054441
2005,0.545083333333333,3306664
2006,0.504666666666667,3532638
2007,0.492083333333333,3795479
2008,0.393916666666667,3833363
2009,0.506166666666667,3605698
2010,0.5575,3712437
2011,0.422,3956236
2012,0.469416666666667,3976153
2013,0.512583333333333,4042492
2014,0.576333333333333,1605722
2015,0.761083333333333,4438795
